MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty,Time_Series,Notes,Lat,Long
1,Meta-data acronyms ,Acronimos; MetaDatosMexico,Juliano Palacios,UBC,1,MMM,National,NA,NA,2016,2016,1,NA,NA,National,Acronyms,MMM,NA,NA,YES,Acronyms,Juliano Palacios; jepa88@gmail.com,Academic,NGO,Marine,NA,NA,1,NA,NA,NA
2,Meta-data Field Information,MetaDatosMexico; Informacion; protocolo; Instrucciones,Juliano Palacios,UBC,1,MMM,National,NA,NA,2016,2016,1,NA,NA,National,Metadata_Field_Info,MMM,NA,NA,NO,Metadata_Field_Info,Juliano Palacios; jepa88@gmail.com,Academic,NGO,Marine,NA,NA,1,NA,NA,NA
3,Base de Metadatos existentes en Mexico,Metadatos; Marina; Datos existentes,Juliano Palacios,UBC,1,MMM,National,NA,NA,2016,2016,1,NA,NA,National,Metadata_Existente_Mexico,MMM,NA,NA,NO,Metadata_Existente_Mexico,Juliano Palacios; jepa88@gmail.com,Academic,NGO,Marine,NA,NA,1,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Seria Historica de la Produccion de Pulpo,Pulpo; Produccion; Peso Vivo,SAGARPA,SAGARPA;CONAPeSCA,1,Pulpo,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Pulpo (Peso Vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
7,Volumen de la Produccion de Bagre en Guerrero 2013 ,Produccion;  Pesca;  Bagre; Guerrero,SAGARPA,SAGARPA;CONAPeSCA,1,Bagre,Pacific,South Pacific,Guerrero,2013,2013,1,Weight,Month,State,(Guerrero) Volumen de la produccion pesquera mensual en peso vivo; segun principales especies; 2013,Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
8,Censo Poblacion y Vivienda 2010,Censo; Poblacion; Tabasco,INeGI,INEGI,1,Poblacion,Atlantic,Yucatan Peninsula,Localidades,2010,2010,NA,Count,Year,Location,Censo de Poblacion y Vivienda 2010; Tamaulipas,,2016,http://www.inegi.org.mx/lib/olap/consulta/general_ver4/MDXQueryDatos.asp?#Regreso&c=27770,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Sociology,State,NA,1,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Daily SST anomaly for Mexican Oceans,SST; Day Anomaly; Mexico,SATMO,SATMO,1,SST,National,NA,Georeference,2002,2015,NA,Index,Day,Georeference,"indice de /Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/",SATMO,2010,ftp://200.12.166.179/Operational_Satellite_Products/MODIS/Ocean_Products/Refined/2002/8Day/8Day_Anomaly/,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Oceanography,State,NA,1,NA,NA,NA
11,Ship Trackers For Sierra Fishing in San Felipe; Upper Gulf of California ,Scomberomorus concolor; sierra;  Aggregate Points;  San Felipe (SF); Upper Gulf,Marcia Moreno Baez,GOC-DataMares,1,Scomberomorus concolor,Pacific,Gulf of California,Georeference,2012,2013,12,Shapefile,Seconds,Georeference,shp_trackers/Aggre_SF_sierra.zip,DataMares,2016,http://datamares.ucsd.edu/en/metadata/view/352,NO,,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
12,Ship Trackers For Shrimp Fishing in San Felipe; Upper Gulf of California,Camaron;  Puntos Agregados;  San Felipe (SF); Alto Golfo,NA,GOC-DataMares,1,Camaron,Pacific,Gulf of California,Georeference,NA,NA,NA,Shapefile,Seconds,Georeference,shp_trackers/Aggre_SF_shrimp.zip,DataMares,NA,http://datamares.ucsd.edu/en/metadata/view/359,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
13,Ship Trackers For Curvina Fishing in  San Felipe; Upper Gulf of California,Curvina; Puntos Agregados;  San Felipe (SF); Alto Golfo,NA,GOC-DataMares,1,Curvina,Pacific,Gulf of California,Georeference,NA,NA,NA,Shapefile,Seconds,Georeference,shp_trackers/Aggre_SF_Curvina.zip,DataMares,NA,http://datamares.ucsd.edu/en/metadata/view/358,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
14,Ship Trackers For Chano Fishing in  San Felipe; Upper Gulf of California,Chano;  Puntos Agregados;  San Felipe (SF); Alto Golfo,NA,GOC-DataMares,1,Chano,Pacific,Gulf of California,Georeference,NA,NA,NA,Shapefile,Seconds,Georeference,shp_trackers/Aggre_SF_chano.zip,DataMares,NA,http://datamares.ucsd.edu/en/metadata/view/359,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
15,Ship Trackers For Curvina Fishing in Golfo de Santa Clara; Upper Gulf of California,Curvina; Puntos Agregados;  Golfoo de Santa Clara (GSC); Alto Golfo,NA,GOC-DataMares,1,Curvina,Pacific,Gulf of California,Georeference,NA,NA,NA,Shapefile,Seconds,Georeference,shp_trackers/Aggre_GSC_curvina.zip,DataMares,NA,http://datamares.ucsd.edu/en/metadata/view/358,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
16,Ship Trackers For Chano Fishing in Golfo de Santa Clara; Upper Gulf of California,Chano; Puntos Agregados;  Golfoo de Santa Clara (GSC); Alto Golfo,NA,GOC-DataMares,1,Chano,Pacific,Gulf of California,Georeference,NA,NA,NA,Shapefile,Seconds,Georeference,shp_trackers/Aggre_GSC_chano.zip,DataMares,NA,http://datamares.ucsd.edu/en/metadata/view/353,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
17,Ship Trackers For Shrimp Fishing in Golfo de Santa Clara; Upper Gulf of California,Camaron Points;  Golfo de Santa Clara (GSC); Alto Golfo,NA,GOC-DataMares,1,Camaron,Pacific,Gulf of California,Georeference,NA,NA,NA,Shapefile,Seconds,Georeference,shp_trackers/Aggre_GSC_shrimp.zip,DataMares,NA,http://datamares.ucsd.edu/en/metadata/view/355,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
18,Ship Trackers For Curvina Fishing in Golfo de Santa Clara; Upper Gulf of California,Curvina Points;  Golfo de Santa Clara (GSC); Alto Golfo,NA,GOC-DataMares,1,Camaron,Pacific,Gulf of California,Georeference,NA,NA,NA,Shapefile,Seconds,Georeference,shp_trackers/Aggre_GSC_curvina.zip,DataMares,NA,http://datamares.ucsd.edu/en/metadata/view/354,NO,NA,Juliano Palacios; jepa88@gmail.com,Academic,NA,Fisheries,Benefits,NA,1,NA,NA,NA
19,Historic Catch for Abulon in Mexico,Abulon; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Abulon,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Abulon (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
20,Historic Catch for Almeja in Mexico,Almeja; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Almeja,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Almeja (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
21,Historic Catch for Tunidos in Mexico,Tunidos; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Tunidos,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Tunidos (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
22,Historic Catch for Calamar in Mexico,Calamar; Captura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Calamar,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Calamar (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
23,Historic Oppen Sea Catch for Shrimp in Mexico,Camaron; Captura; Mexico; Oppen Sea,SAGARPA,SAGARPA;CONAPeSCA,1,Camaron,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
24,Historic Aquaculture production for Shrimp in Mexico,Camaron; Captura; Mexico;  Acuacultura,SAGARPA,SAGARPA;CONAPeSCA,1,Camaron,National,Freshwater/Terrestrial,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
25,Historic  Bay Catch for Shrimp in Mexico,Camaron; Captura; Mexico; Bays,SAGARPA,SAGARPA;CONAPeSCA,1,Camaron,National,NA,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Shrimp (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
26,Historic Catch for Wild Carpa in Mexico,Carpa; Captura; Mexico;  Wild,SAGARPA,SAGARPA;CONAPeSCA,1,Carpa,National,Freshwater/Terrestrial,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
27,Historic production of Aquaculture Carpa in Mexico,Carpa; Acuacultura; Mexico,SAGARPA,SAGARPA;CONAPeSCA,1,Carpa,National,Freshwater/Terrestrial,NA,2004,2013,10,Weight,Year,National,Serie Historica de la Produccion de Carpa (Peso vivo en Toneladas),Anuario estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,NA,1,NA,NA,NA
